Document|Id|Text|Username|Date|Hashtags|Mentions|Likes|Retweets|Url|Clean_text
doc_1866|1575887866437042184|Hunkered down with some fellow sailors at Fish House in Mount Pleasant. We’re at about 35 knots of wind. The power just went out, but everyone is safe and in good spirits. 🥰 ☕️ #charleston #hurricaneian https://t.co/iFhqLotnCV|thekatylynch|Fri Sep 30 16:38:40 +0000 2022|['charleston', 'hurricaneian']||2|0|https://twitter.com/thekatylynch/status/1575887866437042184|['hunker', 'fellow', 'sailor', 'fish', 'hous', 'mount', 'pleasant', 'knot', 'wind', 'power', 'went', 'everyon', 'safe', 'good', 'spirit', 'charleston', 'hurricaneian']
doc_1867|1575887817502519297|Hmm....that's not right, that is @Elaine_Quijano on the left and @NikkiBattiste on the right! Elaine &amp; Nikki co-anchoring on this #HappyFriday🎉🙌😊 afternoon on @CBSNews Streaming with the latest on #HurricaneIan and the day's other top stories. #AlwaysOn https://t.co/ba6nZ5u0Mo https://t.co/x7oiR9MY5R|JoshuaX1993|Fri Sep 30 16:38:28 +0000 2022|['HappyFriday', 'HurricaneIan', 'AlwaysOn']|['Elaine_Quijano', 'NikkiBattiste', 'CBSNews']|4|1|https://twitter.com/JoshuaX1993/status/1575887817502519297|['hmm', 'right', 'left', 'nikkibattist', 'right', 'elain', 'amp', 'nikki', 'afternoon', 'cbsnew', 'stream', 'latest', 'hurricaneian', 'day', 'top', 'stori', 'alwayson']
doc_1868|1575887777757118464|"Big waves and strong winds here in Pawleys Island, #SouthCarolina, as #Ian moves closer... 8:50am 

#HurricaneIan #Hurricane #SCwx https://t.co/gnLFn6cCph"|Io3iOn|Fri Sep 30 16:38:19 +0000 2022|['SouthCarolina', 'Ian', 'HurricaneIan', 'Hurricane', 'SCwx']||2|0|https://twitter.com/Io3iOn/status/1575887777757118464|['big', 'wave', 'strong', 'wind', 'pawley', 'island', 'southcarolina', 'ian', 'move', 'closer', 'hurricaneian', 'hurrican', 'scwx']
doc_1869|1575887774095245312|Our hearts go out to everyone affected by #HurricaneIan. 💔|GetSaivy|Fri Sep 30 16:38:18 +0000 2022|['HurricaneIan']||2|0|https://twitter.com/GetSaivy/status/1575887774095245312|['heart', 'go', 'everyon', 'affect', 'hurricaneian']
doc_1870|1575887728964534273|"Stay safe everyone! 

#hurricaneian 

See this Instagram photo by @abcnews4 https://t.co/uscECtDsB5"|pettigrewmed|Fri Sep 30 16:38:07 +0000 2022|['hurricaneian']|['abcnews4']|0|0|https://twitter.com/pettigrewmed/status/1575887728964534273|['stay', 'safe', 'everyon', 'hurricaneian', 'see', 'instagram', 'photo']
doc_1871|1575887721641279498|"Biden at Rosh Hashanah celebration: ""So many Jewish families in Florida, possibly for some of you who have loved ones in Florida, mothers, fathers, grandparents, friends...Our heart goes out to everyone there in the state...So many families just celebrated New Year""
#hurricaneian https://t.co/Fxu9w3b1gA"|HowardMortman|Fri Sep 30 16:38:06 +0000 2022|['hurricaneian']||6|1|https://twitter.com/HowardMortman/status/1575887721641279498|['biden', 'rosh', 'hashanah', 'celebr', 'mani', 'jewish', 'famili', 'florida', 'possibl', 'love', 'one', 'florida', 'mother', 'father', 'grandpar', 'friend', 'heart', 'goe', 'everyon', 'state', 'mani', 'famili', 'celebr', 'new', 'year', 'hurricaneian']
doc_1872|1575887703148748806|"#USACE announces emergency permitting procedures to support recovery following #HurricaneIan
https://t.co/OewRoeZOj1 @USACEHQ  @AtlantaCorps https://t.co/6jH9k9nsma"|JaxStrong|Fri Sep 30 16:38:01 +0000 2022|['USACE', 'HurricaneIan']|['USACEHQ', 'AtlantaCorps']|1|0|https://twitter.com/JaxStrong/status/1575887703148748806|['usac', 'announc', 'emerg', 'permit', 'procedur', 'support', 'recoveri', 'follow', 'hurricaneian', 'usacehq', 'atlantacorp']
doc_1873|1575887685696225280|Some photos from our retailers in Florida post #hurricaneian https://t.co/MrWjGoI7NC|toddsaunders|Fri Sep 30 16:37:57 +0000 2022|['hurricaneian']||0|0|https://twitter.com/toddsaunders/status/1575887685696225280|['photo', 'retail', 'florida', 'post', 'hurricaneian']
doc_1874|1575887660631351296|@GovRonDeSantis Hurricane death count is going to be enormous!! #hurricaneian #SanibelIsland|Ajblivits|Fri Sep 30 16:37:51 +0000 2022|['hurricaneian', 'SanibelIsland']|['GovRonDeSantis']|0|0|https://twitter.com/Ajblivits/status/1575887660631351296|['govrondesanti', 'hurrican', 'death', 'count', 'go', 'enorm', 'hurricaneian', 'sanibelisland']
doc_1875|1575887656374140929|Please join us in prayer for those in the Southeastern U.S. who are now in the path of #HurricaneIan, and continued prayers for those left in the wake of its devastation. Supplies are headed to #Florida and an initial solidarity grant has been given to help @FLUMC. #Ian https://t.co/gZUR8zAN3K|UMC_UMCOR|Fri Sep 30 16:37:50 +0000 2022|['HurricaneIan', 'Florida', 'Ian']|['FLUMC']|11|4|https://twitter.com/UMC_UMCOR/status/1575887656374140929|['pleas', 'join', 'us', 'prayer', 'southeastern', 'path', 'hurricaneian', 'continu', 'prayer', 'left', 'wake', 'devast', 'suppli', 'head', 'florida', 'initi', 'solidar', 'grant', 'given', 'help', 'flumc', 'ian']
